head,relation,tail,mode
n11669921,_hyponym,n11992806,train
n10499355,_hypernym,n10083823,train
n02103406,_hypernym,n02084071,train
n10668450,_hypernym,n10525134,train
n03522863,_hypernym,n03091374,train
n12992868,_hyponym,n12987056,train
n12493208,_has_part,n12493426,train
n12526178,_hypernym,n12205694,train
n07557434,_hyponym,n07806221,train
n07762244,_hypernym,n07705931,train
n09738400,_hyponym,n09720256,train
n04560113,_hypernym,n04388743,train
n07933799,_hypernym,n07933274,train
n12545232,_hypernym,n13118707,train
n02026059,_hyponym,n02028175,train
n07825972,_hypernym,n07810907,train
n07803545,_hypernym,n07802417,train
n07884567,_hyponym,n07891433,train
n02583567,_hyponym,n02584145,train
n11915214,_hypernym,n11669921,train
n02283201,_hyponym,n02288789,train
n03967562,_hyponym,n03780047,train
n07921615,_hypernym,n07921455,train
n02402175,_hyponym,n02405440,train
n09381242,_hypernym,n09416076,train
n02241569,_hyponym,n02244173,train
n01732244,_hypernym,n01727646,train
n04105893,_has_part,n04546855,train
n12708293,_hyponym,n12710693,train
n02423589,_hypernym,n02423022,train
n15090742,_hyponym,n15091846,train
n02431976,_hypernym,n02430045,train
n11838413,_hypernym,n11672400,train
n01610955,_hyponym,n01611472,train
n09632518,_hypernym,n00007846,train
n13194572,_hypernym,n11545714,train
n02726305,_hypernym,n03546340,train
n11545714,_hyponym,n13208705,train
n09917214,_hypernym,n10317007,train
n12335664,_hypernym,n12334891,train
n02562315,_hypernym,n02554730,train
n02521646,_hyponym,n02523110,train
n04014297,_hyponym,n04187233,train
n13230662,_hypernym,n11545714,train
n04405907,_part_of,n04404412,train
n02760658,_hypernym,n02760429,train
n02596067,_hypernym,n02594250,train
n03903424,_hyponym,n03055159,train
n03177165,_hypernym,n03113152,train
n00007846,_hyponym,n10560637,train
n04063868,_hyponym,n04391838,train
n02298541,_hyponym,n02299846,train
n10703336,_hypernym,n00007846,train
n13104059,_hyponym,n13108662,train
n03478589,_hypernym,n03764276,train
n03259505,_has_part,n02821627,train
n03661340,_hypernym,n04453910,train
n02288789,_hyponym,n02289610,train
n12822769,_hyponym,n12822955,train
n12911440,_has_part,n07734555,train
n04238321,_part_of,n04489008,train
n01945845,_hypernym,n01942177,train
n01822602,_hypernym,n01503061,train
n12334891,_hypernym,n12334293,train
n03760671,_hypernym,n03709206,train
n09989502,_hyponym,n09990777,train
n04961691,_hyponym,n04962240,train
n04404412,_synset_domain_topic_of,n06277280,train
n12730544,_hypernym,n12724942,train
n04249415,_hypernym,n03249569,train
n12288823,_has_part,n07772788,train
n13104059,_hyponym,n12690653,train
n04275661,_part_of,n04199027,train
n02246011,_hyponym,n02259212,train
n12399132,_hypernym,n12651821,train
n12582231,_hyponym,n12594989,train
n10568200,_synset_domain_topic_of,n00475787,train
n12485981,_hypernym,n13100677,train
n11689483,_hyponym,n11689678,train
n01482071,_hyponym,n01482330,train
n10162194,_hypernym,n00007846,train
n10618685,_hypernym,n10740868,train
n07901587,_hyponym,n07905474,train
n07557165,_hyponym,n07594840,train
n11940349,_hypernym,n11940006,train
n11894558,_hypernym,n13085113,train
n04531098,_hyponym,n02795169,train
n02416519,_hyponym,n02417534,train
n02359915,_hypernym,n02355227,train
n10017422,_hypernym,n10053808,train
n01829869,_hypernym,n01825930,train
n10562283,_hypernym,n10276045,train
n01323599,_hypernym,n00015388,train
n12578626,_has_part,n12578916,train
n03666591,_hyponym,n03031422,train
n02687821,_part_of,n02692232,train
n02515713,_hypernym,n02515214,train
n11747468,_hyponym,n12539306,train
n07907548,_hyponym,n07909593,train
n00007846,_hyponym,n10253122,train
n02377480,_hypernym,n02374451,train
n02729965,_hyponym,n03437581,train
n02082056,_hypernym,n01886756,train
n03929202,_hypernym,n03265032,train
n07705931,_hyponym,n07751451,train
n09830629,_derivationally_related_form,n02769748,train
n10540656,_hypernym,n00007846,train
n03868863,_part_of,n02731629,train
n02513560,_hypernym,n01321579,train
n03419014,_hyponym,n04508163,train
n03058949,_hypernym,n03058107,train
n04413151,_hyponym,n02714535,train
n02769748,_hypernym,n02773037,train
n02799897,_hypernym,n04285146,train
n03790512,_hypernym,n03791235,train
n03379828,_hypernym,n02898711,train
n07919310,_hypernym,n07881800,train
n03719053,_hyponym,n03718458,train
n10702167,_hypernym,n00007846,train
n12939479,_hypernym,n12939104,train
n00480993,_hypernym,n00479076,train
n04315948,_hypernym,n04077430,train
n02323449,_hyponym,n02323902,train
n04453910,_hypernym,n03122748,train
n01835918,_hypernym,n01835276,train
n10655594,_hypernym,n09821831,train
n11672400,_hyponym,n12803958,train
n03269401,_hyponym,n02955247,train
n10779897,_hypernym,n10433737,train
n10783539,_hypernym,n00007846,train
n04093625,_hyponym,n03558176,train
n00471613,_member_of_domain_topic,n09843443,train
n01857325,_hypernym,n01855672,train
n02777734,_has_part,n02788148,train
n03351434,_member_meronym,n03410022,train
n02261419,_hyponym,n02261757,train
n03079741,_hyponym,n03441345,train
n10576962,_hyponym,n10379376,train
n03967942,_hyponym,n03108853,train
n01927159,_hypernym,n01925695,train
n01940736,_hyponym,n01955084,train
n04968895,_hyponym,n04969242,train
n01877812,_hypernym,n01877134,train
n12639910,_hypernym,n12639736,train
n04322026,_hypernym,n04359589,train
n10582746,_hyponym,n10317007,train
n07854813,_hypernym,n07850329,train
n02812201,_hypernym,n04552696,train
n12008252,_hyponym,n12008749,train
n07705931,_hyponym,n07770180,train
n04111668,_part_of,n03596285,train
n12694486,_has_part,n07746334,train
n03918480,_hypernym,n03196324,train
n12008749,_hypernym,n12008252,train
n13138308,_hyponym,n07751004,train
n02538010,_hypernym,n02537085,train
n07909811,_hypernym,n07907943,train
n13060190,_hyponym,n13061704,train
n04608567,_hyponym,n03003091,train
n01471682,_hyponym,n01503061,train
n03511175,_hypernym,n03327234,train
n02512938,_hyponym,n02626762,train
n12770892,_hypernym,n13104059,train
n07715561,_hyponym,n07715721,train
n02171869,_hyponym,n02173784,train
n10216403,_hypernym,n10478960,train
n02382948,_hyponym,n02388276,train
n12587132,_hypernym,n12582665,train
n13125117,_hyponym,n11800236,train
n03051540,_hyponym,n03746330,train
n13104059,_hyponym,n12715914,train
n03722288,_hypernym,n03748162,train
n02521646,_hyponym,n02522399,train
n01846331,_hyponym,n01851375,train
n04596852,_hyponym,n03236735,train
n03426574,_hypernym,n04498523,train
n07850329,_hyponym,n07852919,train
n12806732,_hyponym,n12807624,train
n11653904,_hypernym,n13108841,train
n01496331,_hypernym,n01495701,train
n10418101,_hypernym,n00007846,train
n02016358,_hyponym,n02016956,train
n04341686,_hyponym,n03171356,train
n12193334,_hypernym,n13134947,train
n12969131,_hyponym,n12969670,train
n02394477,_hyponym,n02438580,train
n03121897,_hypernym,n04015204,train
n10488309,_hypernym,n10370381,train
n12205694,_hyponym,n12942395,train
n02661017,_hypernym,n02657368,train
n11967744,_hypernym,n11672400,train
n12355760,_hyponym,n12356960,train
n11672400,_hyponym,n12879963,train
n12205694,_hyponym,n12822769,train
n03122748,_hyponym,n03050026,train
n00471613,_member_of_domain_topic,n10435988,train
n04405907,_has_part,n03617594,train
n12725521,_hyponym,n12727960,train
n04033995,_hypernym,n02820210,train
n01609751,_hypernym,n01605630,train
n10162354,_hypernym,n10284064,train
n12157769,_hyponym,n12166128,train
n09894654,_hyponym,n09894909,train
n15089472,_hyponym,n15092751,train
n10172080,_hypernym,n09857007,train
n02833793,_hypernym,n03430551,train
n07573696,_hyponym,n07575510,train
n07810531,_hypernym,n07809368,train
n01691951,_hypernym,n01674464,train
n00015388,_hyponym,n01320872,train
n02726681,_hypernym,n02913152,train
n04194289,_hyponym,n04474187,train
n04446844,_hypernym,n02773037,train
n04011827,_hyponym,n04154152,train
n02976939,_hypernym,n04340750,train
n04356595,_hyponym,n03950899,train
n07896994,_hypernym,n07891726,train
n02627292,_hypernym,n02626762,train
n09764201,_hypernym,n00007846,train
n04272054,_hyponym,n02836607,train
n02955767,_hypernym,n03045337,train
n10514429,_synset_domain_topic_of,n00523513,train
n03202760,_hyponym,n03666362,train
n12660601,_hyponym,n12661045,train
n12641180,_hypernym,n12640607,train
n03448590,_part_of,n02862048,train
n12400720,_has_part,n07754684,train
n12205694,_hyponym,n12908645,train
n04359589,_hypernym,n03183080,train
n02023341,_hyponym,n02024763,train
n01639765,_hyponym,n01643507,train
n03042490,_hypernym,n03259505,train
n03791235,_hyponym,n02958343,train
n03094503,_hyponym,n02946921,train
n03621049,_hypernym,n04516672,train
n02503517,_hypernym,n02503127,train
